SNo	Agency	
NO:43,1ST FLOOR KINGS ST. KANDY	- (Cancelled Agency)
47.	AFZAN TRAVELS & TOURS	
1938
NO.168 BANDARANAYAKE MW. COLOMBO 12	- (Cancelled Agency)
48.	Agroskills Ltd.	
0404
185/2,DHARMAPALA MW.,COL-7	- (Cancelled Agency)
49.	Agroskills Ltd.,	
0774
77/1, ISIPATHANA MW.,COL. 05.	- (Cancelled Agency)
50.	AHLAN TRAVELS & TOURS	
0691
NO.,62 1/1 S. MAHINDA MAWATHA, COLOMBO 10	- (Cancelled Agency)
